A0,propensityY1,propensityY2,propensityY3,propensityY4,propensityY5,propensityY6,propensityY7,propensityY8,propensityY9,propensityY10,propensityY11,propensityY12,propensityY13
1,0.032680272,0.029571936,0.02675107,0.024192577,0.021873282,,,,,,,,
2,0.404576621,0.291466377,0.270630345,0.058622948,0.091092193,,,,,,,,
3,0.032680272,0.029571936,0.02675107,0.024192577,0.021873282,,,,,,,,
4,0.038170961,0.05063125,0.045896545,0.028298948,0.025596309,,,,,,,,
5,0.042312819,0.038324597,0.034698667,0.031404588,0.028414023,,,,,,,,
7,0.040190801,0.03639499,0.032945368,0.029812596,0.02696941,,,,,,,,
8,0.052347789,0.047460589,0.043008951,0.067449771,0.035274145,,,,,,,,
9,0.09183592,0.083587276,0.076017505,0.069081584,0.062735537,,,,,,,,
10,0.054624241,0.04953562,0.044898525,0.040676937,0.036836976,,,,,,,,
11,0.049339348,0.044719762,0.040514269,0.036689076,0.033212541,,,,,,,,
13,0.167271269,0.15339148,0.083907762,0.076311383,0.069350662,,,,,,,,
14,0.049748653,0.045092562,0.186272585,0.064151562,0.033492776,,,,,,,,
15,0.07443894,0.067636506,0.061414451,0.055730565,0.050544392,,,,,,,,
16,0.052347789,0.047460589,0.043008951,0.038957783,0.035274145,,,,,,,,
18,0.057935288,0.052555367,0.047649762,0.043181184,0.057179749,,,,,,,,
19,0.036248798,0.032812561,0.02969203,0.026860024,0.024291372,,,,,,,,
20,0.08745709,0.079567291,0.072332839,0.065709204,0.040840231,,,,,,,,
21,0.032680272,0.029571936,0.02675107,0.024192577,0.021873282,,,,,,,,
22,0.101188247,0.092184851,0.083907762,0.076311383,0.069350662,,,,,,,,
23,0.168485514,0.154523666,0.141521878,0.12944658,0.11825967,,,,,,,,
24,0.457162659,0.12383969,0.550062083,0.170248211,0.156167728,,,,,,,,
25,0.060934711,0.055292609,0.050145027,0.045453613,0.041182084,,,,,,,,
26,0.101981534,0.09291485,0.058392882,0.052972858,0.048030258,,,,,,,,
27,0.046882195,0.042482388,0.038478826,0.034838833,0.031531882,,,,,,,,
28,0.051918268,0.047069176,0.042652607,0.03863365,0.034979544,,,,,,,,
29,0.11223937,0.102364668,0.064581649,0.058622948,0.053182775,,,,,,,,
30,0.056852764,0.051567865,0.02675107,0.024192577,0.021873282,,,,,,,,
31,0.470507977,0.444909778,0.326710612,0.126873357,0.06843095,,,,,,,,
32,0.108021769,0.098476966,0.052330977,0.081617457,0.074211629,,,,,,,,
34,0.060439227,0.054840324,0.049732632,0.045077969,0.040840231,,,,,,,,
35,0.054624241,0.04953562,0.077385453,0.070334221,0.063880999,,,,,,,,
36,0.361828279,0.338364377,0.205421874,0.189095289,0.173782512,,,,,,,,
37,0.07443894,0.067636506,0.061414451,0.055730565,0.050544392,,,,,,,,
38,0.049339348,0.044719762,0.040514269,0.036689076,0.033212541,,,,,,,,
39,0.600423371,0.575438504,0.550062083,0.381961165,0.498653406,,,,,,,,
40,0.083267903,0.052124237,0.047256866,0.042823478,0.056712954,,,,,,,,
41,0.055074848,0.049946468,0.045272745,0.041017482,0.037146617,,,,,,,,
42,0.135473348,0.12383969,0.113074396,0.103134763,0.093976281,,,,,,,,
43,0.139463611,0.439973549,0.414735389,0.26374821,0.09688125,,,,,,,,
44,0.192258212,0.125950901,0.281352722,0.386531493,0.241573984,,,,,,,,
45,0.068280141,0.042482388,0.038478826,0.034838833,0.031531882,,,,,,,,
46,0.044541677,0.040352224,0.036541748,0.033078694,0.029933636,,,,,,,,
47,0.049339348,0.044719762,0.040514269,0.036689076,0.033212541,,,,,,,,
48,0.057462701,0.052124237,0.068813473,0.062490402,0.056712954,,,,,,,,
49,0.049748653,0.045092562,0.04085351,0.036997522,0.033492776,,,,,,,,
50,0.054624241,0.04953562,0.044898525,0.040676937,0.036836976,,,,,,,,
51,0.057935288,0.052555367,0.047649762,0.043181184,0.039114457,,,,,,,,
52,0.070824925,0.064329796,0.058392882,0.052972858,0.048030258,,,,,,,,
53,0.046882195,0.062002813,0.056267739,0.034838833,0.054903161,,,,,,,,
54,0.054042706,0.04900545,0.025388795,0.022957518,0.020754107,,,,,,,,
55,0.060934711,0.055292609,0.050145027,0.045453613,0.041182084,,,,,,,,
56,0.084754356,0.077087783,0.040514269,0.036689076,0.033212541,,,,,,,,
57,0.11223937,0.102364668,0.09326746,0.084902256,0.077223434,,,,,,,,
58,0.047272129,0.042837373,0.038801712,0.035132291,0.031798402,,,,,,,,
59,0.064078857,0.058163662,0.052763723,0.047839651,0.043354076,,,,,,,,
60,0.066665903,0.060527339,0.031542234,0.028538948,0.025813997,,,,,,,,
61,0.277919152,0.340902828,0.454271258,0.296174545,0.275132636,,,,,,,,
62,0.055074848,0.049946468,0.045272745,0.041017482,0.037146617,,,,,,,,
64,0.071774333,0.065198246,0.059186253,0.053696788,0.048690116,,,,,,,,
65,0.044541677,0.040352224,0.036541748,0.033078694,0.029933636,,,,,,,,
66,0.10376424,0.094555753,0.050145027,0.045453613,0.041182084,,,,,,,,
67,0.062889204,0.05707713,0.02969203,0.026860024,0.024291372,,,,,,,,
68,0.096410828,0.087790991,0.079873707,0.072613593,0.065966076,,,,,,,,
69,0.038170961,0.034559045,0.031277791,0.028298948,0.025596309,,,,,,,,
70,0.060290278,0.05470437,0.028423382,0.044965066,0.023247948,,,,,,,,
71,0.528935807,0.601424977,0.57645856,0.407598547,0.525463992,,,,,,,,
72,0.064078857,0.058163662,0.052763723,0.047839651,0.043354076,,,,,,,,
73,0.101188247,0.092184851,0.083907762,0.052538492,0.047634383,,,,,,,,
74,0.175791497,0.161341699,0.147866565,0.028298948,0.025596309,,,,,,,,
75,0.048811171,0.044238736,0.022864022,0.020669394,0.018681393,,,,,,,,
76,0.587481618,0.562277468,0.536747685,0.369375319,0.345687111,,,,,,,,
77,0.054624241,0.04953562,0.044898525,0.040676937,0.036836976,,,,,,,,
78,0.071774333,0.065198246,0.040514269,0.036689076,0.033212541,,,,,,,,
79,0.038491368,0.034850232,0.031542234,0.028538948,0.025813997,,,,,,,,
80,0.14854273,0.458199327,0.57645856,0.551095546,0.170839025,,,,,,,,
81,0.034419965,0.03115149,0.028184326,0.025492346,0.023051388,,,,,,,,
82,0.064078857,0.058163662,0.052763723,0.117824853,0.063248579,,,,,,,,
83,0.079261949,0.04953562,0.044898525,0.040676937,0.036836976,,,,,,,,
84,0.064078857,0.058163662,0.052763723,0.047839651,0.043354076,,,,,,,,
85,0.046882195,0.042482388,0.038478826,0.034838833,0.031531882,,,,,,,,
86,0.046882195,0.042482388,0.038478826,0.034838833,0.031531882,,,,,,,,
