A0,propensityY1,propensityY2,propensityY3,propensityY4,propensityY5,propensityY6,propensityY7,propensityY8,propensityY9,propensityY10,propensityY11,propensityY12,propensityY13
1,0.024889832,0.024889832,0.024889832,0.024889832,0.024889832,,,,,,,,
2,0.90983196,0.90983196,0.119469406,0.040951918,0.119469406,,,,,,,,
3,0.024889832,0.024889832,0.024889832,0.024889832,0.024889832,,,,,,,,
4,0.048091104,0.048091104,0.789792831,0.789792831,0.048091104,,,,,,,,
5,0.031243395,0.031243395,0.031243395,0.031243395,0.031243395,,,,,,,,
7,0.029858206,0.029858206,0.029858206,0.029858206,0.029858206,,,,,,,,
8,0.02853262,0.02853262,0.02853262,0.02853262,0.02853262,,,,,,,,
9,0.777137265,0.777137265,0.777137265,0.777137265,0.777137265,,,,,,,,
10,0.039153693,0.039153693,0.039153693,0.039153693,0.039153693,,,,,,,,
11,0.035781947,0.035781947,0.035781947,0.035781947,0.035781947,,,,,,,,
13,0.868184701,0.868184701,0.868184701,0.868184701,0.868184701,,,,,,,,
14,0.027264232,0.027264232,0.081775922,0.027264232,0.027264232,,,,,,,,
15,0.039153693,0.039153693,0.039153693,0.039153693,0.039153693,,,,,,,,
16,0.02853262,0.02853262,0.02853262,0.02853262,0.02853262,,,,,,,,
18,0.031243395,0.031243395,0.031243395,0.031243395,0.031243395,,,,,,,,
19,0.027264232,0.027264232,0.081775922,0.027264232,0.027264232,,,,,,,,
20,0.924550917,0.924550917,0.924550917,0.924550917,0.924550917,,,,,,,,
21,0.024889832,0.024889832,0.024889832,0.024889832,0.024889832,,,,,,,,
22,0.868184701,0.868184701,0.868184701,0.868184701,0.868184701,,,,,,,,
23,0.743063473,0.743063473,0.743063473,0.743063473,0.743063473,,,,,,,,
24,0.792919686,0.792919686,0.924050175,0.792919686,0.792919686,,,,,,,,
25,0.032690681,0.032690681,0.032690681,0.032690681,0.032690681,,,,,,,,
26,0.743063473,0.743063473,0.743063473,0.037431348,0.037431348,,,,,,,,
27,0.034202643,0.034202643,0.034202643,0.034202643,0.034202643,,,,,,,,
28,0.062696043,0.062696043,0.062696043,0.062696043,0.062696043,,,,,,,,
29,0.760515295,0.760515295,0.760515295,0.040951918,0.040951918,,,,,,,,
30,0.024889832,0.024889832,0.024889832,0.024889832,0.024889832,,,,,,,,
31,0.927268635,0.927268635,0.800495221,0.051190364,0.146342705,,,,,,,,
32,0.044788204,0.044788204,0.044788204,0.044788204,0.044788204,,,,,,,,
34,0.042829049,0.042829049,0.042829049,0.042829049,0.042829049,,,,,,,,
35,0.039153693,0.039153693,0.039153693,0.039153693,0.039153693,,,,,,,,
36,0.87406268,0.87406268,0.87406268,0.87406268,0.87406268,,,,,,,,
37,0.039153693,0.039153693,0.039153693,0.039153693,0.039153693,,,,,,,,
38,0.035781947,0.035781947,0.035781947,0.035781947,0.035781947,,,,,,,,
39,0.954395902,0.954395902,0.954395902,0.954395902,0.954395902,,,,,,,,
40,0.760515295,0.760515295,0.040951918,0.040951918,0.040951918,,,,,,,,
41,0.029858206,0.029858206,0.029858206,0.029858206,0.029858206,,,,,,,,
42,0.792919686,0.792919686,0.792919686,0.792919686,0.792919686,,,,,,,,
43,0.921222412,0.973792463,0.973792463,0.973792463,0.921222412,,,,,,,,
44,0.768930811,0.768930811,0.124478444,0.124478444,0.042829049,,,,,,,,
45,0.906528373,0.906528373,0.115363905,0.115363905,0.115363905,,,,,,,,
46,0.032690681,0.032690681,0.032690681,0.032690681,0.032690681,,,,,,,,
47,0.035781947,0.035781947,0.035781947,0.035781947,0.035781947,,,,,,,,
