A0,propensityY1,propensityY2,propensityY3,propensityY4,propensityY5,propensityY6,propensityY7,propensityY8,propensityY9,propensityY10,propensityY11,propensityY12,propensityY13
1,0.008199554,0.008199554,0.008199554,0.008199554,0.008199554,,,,,,,,
2,0.834336942,0.834336942,0.834336942,0.834336942,0.056456121,,,,,,,,
3,0.008199554,0.008199554,0.008199554,0.008199554,0.008199554,,,,,,,,
4,0.021929922,0.021929922,0.021929922,0.021929922,0.021929922,,,,,,,,
5,0.024776023,0.024776023,0.024776023,0.024776023,0.024776023,,,,,,,,
7,0.02331061,0.02331061,0.02331061,0.02331061,0.02331061,,,,,,,,
8,0.009872952,0.009872952,0.009872952,0.009872952,0.009872952,,,,,,,,
9,0.06349221,0.06349221,0.06349221,0.06349221,0.06349221,,,,,,,,
10,0.033554807,0.033554807,0.033554807,0.033554807,0.033554807,,,,,,,,
11,0.029731003,0.029731003,0.029731003,0.029731003,0.029731003,,,,,,,,
13,0.071338901,0.071338901,0.071338901,0.071338901,0.071338901,,,,,,,,
14,0.009280614,0.009280614,0.009280614,0.009280614,0.009280614,,,,,,,,
15,0.015205893,0.015205893,0.015205893,0.015205893,0.015205893,,,,,,,,
16,0.009872952,0.009872952,0.009872952,0.009872952,0.009872952,,,,,,,,
18,0.011172154,0.011172154,0.011172154,0.011172154,0.011172154,,,,,,,,
19,0.009280614,0.009280614,0.009280614,0.009280614,0.009280614,,,,,,,,
20,0.01719468,0.01719468,0.01719468,0.01719468,0.01719468,,,,,,,,
21,0.018250619,0.018250619,0.018250619,0.018250619,0.018250619,,,,,,,,
22,0.071338901,0.071338901,0.071338901,0.071338901,0.071338901,,,,,,,,
23,0.050157998,0.050157998,0.050157998,0.050157998,0.050157998,,,,,,,,
24,0.071338901,0.071338901,0.071338901,0.866059556,0.071338901,,,,,,,,
25,0.026331075,0.026331075,0.026331075,0.026331075,0.026331075,,,,,,,,
26,0.031586978,0.031586978,0.031586978,0.031586978,0.031586978,,,,,,,,
27,0.044529322,0.044529322,0.044529322,0.044529322,0.044529322,,,,,,,,
28,0.031586978,0.031586978,0.031586978,0.031586978,0.031586978,,,,,,,,
29,0.056456121,0.056456121,0.056456121,0.056456121,0.056456121,,,,,,,,
30,0.008199554,0.008199554,0.008199554,0.008199554,0.008199554,,,,,,,,
31,0.87314176,0.87314176,0.87314176,0.07558992,0.07558992,,,,,,,,
32,0.018282815,0.018282815,0.018282815,0.018282815,0.018282815,,,,,,,,
34,0.037851218,0.037851218,0.037851218,0.037851218,0.037851218,,,,,,,,
35,0.033554807,0.033554807,0.033554807,0.033554807,0.033554807,,,,,,,,
36,0.753418313,0.753418313,0.753418313,0.753418313,0.753418313,,,,,,,,
37,0.033554807,0.033554807,0.033554807,0.033554807,0.033554807,,,,,,,,
38,0.029731003,0.029731003,0.029731003,0.029731003,0.029731003,,,,,,,,
39,0.799754768,0.799754768,0.799754768,0.799754768,0.799754768,,,,,,,,
40,0.035640717,0.035640717,0.035640717,0.035640717,0.035640717,,,,,,,,
41,0.02331061,0.02331061,0.02331061,0.02331061,0.02331061,,,,,,,,
42,0.071338901,0.071338901,0.071338901,0.071338901,0.071338901,,,,,,,,
43,0.056456121,0.056456121,0.834336942,0.834336942,0.834336942,,,,,,,,
44,0.059877472,0.059877472,0.059877472,0.842792029,0.842792029,,,,,,,,
45,0.044529322,0.044529322,0.044529322,0.044529322,0.044529322,,,,,,,,
46,0.011883772,0.011883772,0.011883772,0.011883772,0.011883772,,,,,,,,
47,0.029731003,0.029731003,0.029731003,0.029731003,0.029731003,,,,,,,,
48,0.035640717,0.035640717,0.035640717,0.035640717,0.035640717,,,,,,,,
49,0.020629285,0.020629285,0.020629285,0.020629285,0.020629285,,,,,,,,
50,0.053219198,0.053219198,0.053219198,0.053219198,0.053219198,,,,,,,,
51,0.011172154,0.011172154,0.011172154,0.011172154,0.011172154,,,,,,,,
52,0.031586978,0.031586978,0.031586978,0.031586978,0.031586978,,,,,,,,
53,0.044529322,0.044529322,0.044529322,0.044529322,0.044529322,,,,,,,,
54,0.027496625,0.027496625,0.027496625,0.027496625,0.027496625,,,,,,,,
55,0.041945824,0.041945824,0.041945824,0.041945824,0.041945824,,,,,,,,
56,0.029731003,0.029731003,0.029731003,0.029731003,0.029731003,,,,,,,,
57,0.035640717,0.035640717,0.035640717,0.035640717,0.035640717,,,,,,,,
58,0.008723501,0.008723501,0.008723501,0.008723501,0.008723501,,,,,,,,
59,0.012640137,0.012640137,0.012640137,0.012640137,0.012640137,,,,,,,,
60,0.015179032,0.015179032,0.015179032,0.015179032,0.015179032,,,,,,,,
