A0,propensityY1,propensityY2,propensityY3,propensityY4,propensityY5,propensityY6,propensityY7,propensityY8,propensityY9,propensityY10,propensityY11,propensityY12,propensityY13
1,0.010400353,0.012212497,0.014335812,0.016822009,0.019730746,,,,,,,,
2,0.548954724,0.588774405,0.62746433,0.664587834,0.052277175,,,,,,,,
3,0.008755694,0.010284253,0.012076415,0.014176411,0.01663543,,,,,,,,
4,0.017838398,0.020919141,0.024518656,0.028719364,0.033614966,,,,,,,,
5,0.016410504,0.01924948,0.022568321,0.026443942,0.030964034,,,,,,,,
7,0.015035396,0.017640748,0.020688075,0.024248816,0.028404639,,,,,,,,
8,0.008755694,0.010284253,0.012076415,0.014176411,0.01663543,,,,,,,,
9,0.025675045,0.030067767,0.035184896,0.041135957,0.048043441,,,,,,,,
10,0.066412637,0.077222713,0.022568321,0.026443942,0.030964034,,,,,,,,
11,0.015035396,0.017640748,0.020688075,0.024248816,0.028404639,,,,,,,,
13,0.128949983,0.14832213,0.045847239,0.053501691,0.062350588,,,,,,,,
14,0.010400353,0.012212497,0.014335812,0.419618423,0.019730746,,,,,,,,
15,0.039535979,0.046187738,0.053895828,0.062805587,0.018154177,,,,,,,,
16,0.008755694,0.010284253,0.012076415,0.014176411,0.01663543,,,,,,,,
18,0.009562049,0.011229785,0.013184523,0.015474192,0.018154177,,,,,,,,
19,0.008755694,0.010284253,0.012076415,0.014176411,0.01663543,,,,,,,,
20,0.008755694,0.010284253,0.012076415,0.014176411,0.01663543,,,,,,,,
21,0.031176102,0.036474761,0.042634346,0.049780374,0.058051533,,,,,,,,
22,0.073420543,0.085267123,0.098821314,0.114260967,0.131760187,,,,,,,,
23,0.025675045,0.030067767,0.035184896,0.041135957,0.048043441,,,,,,,,
24,0.862176635,0.880370161,0.170036442,0.910588839,0.062350588,,,,,,,,
25,0.015035396,0.017640748,0.020688075,0.024248816,0.028404639,,,,,,,,
26,0.019716465,0.023113923,0.027080644,0.031706023,0.037091299,,,,,,,,
27,0.027995577,0.032771963,0.038331122,0.044789623,0.052277175,,,,,,,,
28,0.019716465,0.023113923,0.027080644,0.031706023,0.037091299,,,,,,,,
29,0.027995577,0.032771963,0.038331122,0.044789623,0.052277175,,,,,,,,
30,0.010400353,0.012212497,0.014335812,0.016822009,0.019730746,,,,,,,,
31,0.594680216,0.633160694,0.896450475,0.704892611,0.062350588,,,,,,,,
32,0.047276734,0.055156053,0.015851071,0.018595095,0.021803621,,,,,,,,
