
Categorical variable freqs (actual CHDS):

"z1single"
"","Actual (%)"
"z1single1",7.37463126843658
"z1single2",8.16929133858268
"z1single3",9.24287118977385
"z1single4",9.83284169124877
"z1single5",10.3244837758112
"z1single6",10.934393638171
"z1single7",12.3991935483871
"z1single8",11.6803278688525
"z1single9",12.9668049792531
"z1single10",13.3611691022964
"z1single11",13.4042553191489
"z1single12",14.0350877192982
"z1single13",15.3163152053274 
 "z1chpar"
"","Actual (%)"
"z1chpar1",10.0294985250737
"z1chpar2",6.69291338582677
"z1chpar3",10.7177974434612
"z1chpar4",8.06293018682399
"z1chpar5",5.6047197640118
"z1chpar6",6.46123260437376
"z1chpar7",6.1491935483871
"z1chpar8",5.84016393442623
"z1chpar9",6.74273858921162
"z1chpar10",6.57620041753653
"z1chpar11",4.57446808510638
"z1chpar12",5.15350877192982
"z1chpar13",6.88124306326304 
 "welfare"
"","Actual (%)"
"welfare1",9.43952802359882
"welfare2",8.75984251968504
"welfare3",11.1111111111111
"welfare4",12.5860373647984
"welfare5",12.7826941986234
"welfare6",13.4194831013916
"welfare7",14.0120967741935
"welfare8",13.8319672131148
"welfare9",13.5892116182573
"welfare10",16.1795407098121
"welfare11",16.2765957446809
"welfare12",19.2982456140351
"welfare13",18.4239733629301 
 "z1accom"
"","Actual (%)"
"z1accom1",11.6027531956736
"z1accom2",11.0236220472441
"z1accom3",8.35791543756146
"z1accom4",7.86627335299902
"z1accom5",8.25958702064897
"z1accom6",6.56063618290259
"z1accom7",5.84677419354839
"z1accom8",5.63524590163934
"z1accom9",5.18672199170125
"z1accom10",5.21920668058455
"z1accom11",5.1063829787234
"z1accom12",4.27631578947368
"z1accom13",4.21753607103219 
 "z1homeown"
"","Actual (%)"
"z1homeown1",31.5634218289086
"z1homeown2",28.248031496063
"z1homeown3",24.8770894788594
"z1homeown4",23.992133726647
"z1homeown5",22.3205506391347
"z1homeown6",19.3836978131213
"z1homeown7",18.2459677419355
"z1homeown8",17.4180327868852
"z1homeown9",15.9751037344398
"z1homeown10",14.4050104384134
"z1homeown11",14.2553191489362
"z1homeown12",14.5833333333333
"z1homeown13",13.5405105438402 
 "z1overcrowd"
"","Actual (%)"
"z1overcrowd1",12.9793510324484
