Age,Mean Diff,Lower CI,Upper CI
2,-0.008,-0.37434576,0.35834576
3,0.012,-0.756568728,0.780568728
4,-0.086,-0.719865971,0.547865971
5,-1.418,-1.849573458,-0.986426542
6,-1.35,-1.853273038,-0.846726962
7,-1.598,-2.231302458,-0.964697542
8,-1.096,-1.706031616,-0.485968384
9,-1.444,-1.942548008,-0.945451992
10,-1.438,-1.999339041,-0.876660959
11,-1.766,-2.335554415,-1.196445585
12,-1.342,-1.940173988,-0.743826012
13,-1.152,-1.718392373,-0.585607627
14,-2.022,-2.466039039,-1.577960961
15,-2.066,-2.581899839,-1.550100161
16,-1.666,-2.263885321,-1.068114679
17,-1.878,-2.60524819,-1.15075181
18,-2.18,-2.774464833,-1.585535167
19,-2.368,-2.8447936,-1.8912064
20,-2.428,-3.201045423,-1.654954577
21,-1.872,-2.413405975,-1.330594025
Mean,-1.710823529,-2.278057095,-1.143589964
