Age,Mean Diff,Lower CI,Upper CI
2,-0.934,-1.381462967,-0.486537033
3,-4.336,-5.005282819,-3.666717181
4,-4.442,-5.094790133,-3.789209867
5,-6.038,-6.516520579,-5.559479421
6,-5.74,-6.165952697,-5.314047303
7,-6.18,-6.779518718,-5.580481282
8,-5.24,-5.80475869,-4.67524131
9,-5.518,-6.027001571,-5.008998429
10,-5.594,-6.041199844,-5.146800156
11,-6.028,-6.717472411,-5.338527589
12,-6.248,-6.890529605,-5.605470395
13,-2.154,-2.685947855,-1.622052145
14,-3.504,-4.14057283,-2.86742717
15,-2.84,-3.441266776,-2.238733224
16,-3.08,-3.650175774,-2.509824226
17,-2.568,-3.259427172,-1.876572828
18,-3.262,-3.830892724,-2.693107276
19,-2.472,-3.021398143,-1.922601857
20,-2.332,-2.998159795,-1.665840205
21,-1.872,-2.388900833,-1.355099167
Mean,-5.82325,-6.367869264,-5.278630736
