Age,Mean Diff,Lower CI,Upper CI
2,-0.838,-1.246847562,-0.429152438
3,-0.814,-1.564474656,-0.063525344
4,-1.312,-1.885414461,-0.738585539
5,-0.992,-1.556539814,-0.427460186
6,-0.74,-1.200476444,-0.279523556
7,-0.698,-1.254749186,-0.141250814
8,-0.402,-1.096469059,0.292469059
9,-0.542,-1.010159521,-0.073840479
10,-0.338,-0.934347789,0.258347789
11,-0.538,-1.149298921,0.073298921
12,-1.24,-1.861693089,-0.618306911
13,-0.364,-0.843309094,0.115309094
14,-1.552,-2.110797871,-0.993202129
15,-1.042,-1.587098294,-0.496901706
16,-0.904,-1.539283376,-0.268716624
17,-0.952,-1.623454158,-0.280545842
18,-1.606,-2.189841325,-1.022158675
19,-0.578,-1.276637223,0.120637223
20,-0.464,-1.099048649,0.171048649
21,-0.018,-0.502250251,0.466250251
Mean,-0.858444444,-1.440605102,-0.276283786
