AKL1,AKL2,AKL3,AKL4,AKL5,AKL6,AKL7,AKL8,AKL9,AKL10,AKL11,AKL12,AKL13,AKL14,AKL15,AKL16,AKL17,AKL18,AKL19,AKL20,AKL21,AKL22,AKL23,BOP1,BOP2,BOP3,BOP4,BOP5,BOP6,BOP7,CAN1,CAN2,CAN3,CAN4,CAN5,CAN6,CAN7,CAN8,CAN9,CAN10,CAN11,CAN12,GIS1,GIS2,GIS3,HB1,HB2,HB3,HB4,HB5,MAN1,MAN2,MAN3,MAN4,MAN5,MAN6,NTH1,NTH2,NTH3,NTH4,NTH5,NTH6,NTH7,OTA1,OTA2,OTA3,OTA4,OTA5,OTA6,STH1,STH2,STH3,TAR1,TAR2,TAR3,TSI1,TSI2,TSI3,TSI4,WAI1,WAI2,WAI3,WAI4,WAI5,WAI6,WAI7,WAI8,WAI9,WAI10,WAI11,WEL1,WEL2,WEL3,WEL4,WEL5,WEL6,WEL7,WEL8,WEL9,WEL10
0.169849431,0.012738707,0.005164341,0.164593279,0.021001653,0.033235402,0.023939589,0.004659383,0.011200881,0.007574367,0.002410026,0.011545171,0.03461256,0,0.042531216,0.002593647,0.038216122,0.024283878,0.170767536,0.169849431,0,0.038904701,0.010328682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.044711727,0,0,0.076480586,0.022957249,0.078441626,0.120407896,0,0.070022225,0.12767682,0,0.084324748,0.002745457,0.126107988,0.087070205,0,0.000601386,0,0,0.06079226,0.073342921,0.024316904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.171653909,0.012874043,0,0.166341916,0.021224774,0.033588495,0.024193923,0.004708884,0,0.007654836,0.00243563,0,0.034980283,0.020366504,0.042983067,0.002621202,0,0.02454187,0.172581768,0.171653909,0.035838553,0.039318024,0.010438413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.044711727,0,0,0.076480586,0.022957249,0.078441626,0.120407896,0,0.070022225,0.12767682,0,0.084324748,0.002745457,0.126107988,0.087070205,0,0.000601386,0,0,0.06079226,0.073342921,0.024316904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.118820206,0.051456245,0,0.053474137,0.063563597,0.040626892,0.059527813,0.022465864,0.102172597,0.053474137,0.080715679,0.037600054,0,0.007331674,0.11451537,0.037331002,0.007836147,0,0,0,0.02851954,0.120569046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.03408887,0.104220242,0,0.05830991,0.01750294,0.059805036,0.09180073,0.107051014,0.053385962,0.097342663,0.062496262,0.064290413,0,0.096146562,0.066383589,0.012260032,0.000458505,0,0,0,0.055917708,0.018539561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.142597675,0,0,0.064175008,0.0762835,0.048756861,0.071440103,0,0.122618663,0.064175008,0,0.045124314,0.009686794,0.008798838,0.137431385,0,0.009404262,0,0,0.020584437,0.034226671,0.14469648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.044711727,0,0,0.076480586,0.022957249,0.078441626,0.120407896,0,0.070022225,0.12767682,0,0.084324748,0.002745457,0.126107988,0.087070205,0,0.000601386,0,0,0.06079226,0.073342921,0.024316904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.044711727,0,0,0.076480586,0.022957249,0.078441626,0.120407896,0,0.070022225,0.12767682,0,0.084324748,0.002745457,0.126107988,0.087070205,0,0.000601386,0,0,0.06079226,0.073342921,0.024316904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.03408887,0.104220242,0,0.05830991,0.01750294,0.059805036,0.09180073,0.107051014,0.053385962,0.097342663,0.062496262,0.064290413,0,0.096146562,0.066383589,0.012260032,0.000458505,0,0,0,0.055917708,0.018539561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.042274434,0.004934929,0.010000873,0.037994585,0.124159315,0.067167438,0.001004455,0.020962529,0.015721897,0.01083064,0.012446502,0.049786008,0,0.011136344,0.00427985,0.161149445,0.268582409,0.002620316,0,0,0.079264565,0.075683466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.171653909,0.012874043,0,0.166341916,0.021224774,0.033588495,0.024193923,0.004708884,0,0.007654836,0.00243563,0,0.034980283,0.020366504,0.042983067,0.002621202,0,0.02454187,0.172581768,0.171653909,0.035838553,0.039318024,0.010438413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.171653909,0.012874043,0,0.166341916,0.021224774,0.033588495,0.024193923,0.004708884,0,0.007654836,0.00243563,0,0.034980283,0.020366504,0.042983067,0.002621202,0,0.02454187,0.172581768,0.171653909,0.035838553,0.039318024,0.010438413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.03408887,0.104220242,0,0.05830991,0.01750294,0.059805036,0.09180073,0.107051014,0.053385962,0.097342663,0.062496262,0.064290413,0,0.096146562,0.066383589,0.012260032,0.000458505,0,0,0,0.055917708,0.018539561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
