r1Region,r1stchildethn,r1Rural
1,1,6.85
2,1,19.46
3,1,18.73
4,1,23.8
5,1,14.59
6,1,23.54
7,1,54.45
8,1,20.64
9,1,36.57
10,1,29.86
11,1,26.905
12,1,26.82
13,1,5.14
1,2,3.76
2,2,19.09
3,2,13.69
4,2,27.52
5,2,12.03
6,2,14.53
7,2,43.95
8,2,18.84
9,2,22.68
10,2,19.97
11,2,21.7175
12,2,17.94
13,2,2.81
1,3,0.52
2,3,8.43
3,3,5.51
4,3,3.99
5,3,1.9
6,3,4.89
7,3,35.19
8,3,5.76
9,3,9.77
10,3,8.94
11,3,22.01
12,3,9.48
13,3,0.55
1,4,0.5
2,4,5.29
3,4,6.56
4,4,4.42
5,4,2.87
6,4,4.85
7,4,24.05
8,4,6.33
9,4,41.81
10,4,6.16
11,4,21.367
12,4,7.07
13,4,0.38
